on,en,cn,src,cpt,ver,num,rsrc
Naruto Shippuuden,,火影忍者：疾风传,Naruto Shippuuden,op,,03,https://steamcommunity.com/sharedfiles/filedetails/?id=1289016361
,,,,ed,,03,https://steamcommunity.com/sharedfiles/filedetails/?id=1289022227
,,,[HorribleSubs] Naruto Shippuuden (80-426) [1080p] (Batch),ed,,07,https://steamcommunity.com/sharedfiles/filedetails/?id=1289026546
,,,,op,,05,https://steamcommunity.com/sharedfiles/filedetails/?id=1289029467
,,,,ed,,12,https://steamcommunity.com/sharedfiles/filedetails/?id=1289034643
,,,,op,,07,https://steamcommunity.com/sharedfiles/filedetails/?id=1289038972
,,,,op,,08,https://steamcommunity.com/sharedfiles/filedetails/?id=1289041201
,,,,ed,,15,https://steamcommunity.com/sharedfiles/filedetails/?id=1289045251
,,,,ed,,17,https://steamcommunity.com/sharedfiles/filedetails/?id=1289047763
,,,,ed,,28,https://steamcommunity.com/sharedfiles/filedetails/?id=1289051631
リニティ・ブラッド,Trinity Blood,圣魔之血,Trinity Blood [2005],ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1450266429
鋼の錬金術師,Fullmetal Alchemist,钢之炼金术士,[Moozzi2] Fullmetal Alchemist Brotherhood - TV + OVA,op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1308904350
,,,,op,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1308910297
,,,,op,nc,03,https://steamcommunity.com/sharedfiles/filedetails/?id=1308913037
,,,,op,nc,04,https://steamcommunity.com/sharedfiles/filedetails/?id=1308917133
,,,,op,nc,05,https://steamcommunity.com/sharedfiles/filedetails/?id=1308920831
,,,,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1308925076
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1308930443
,,,,ed,nc,03,https://steamcommunity.com/sharedfiles/filedetails/?id=1308933493
,,,,ed,nc,04,https://steamcommunity.com/sharedfiles/filedetails/?id=1308937328
,,,,ed,nc,05,https://steamcommunity.com/sharedfiles/filedetails/?id=1308939913

